# Polysun weather profile generated by hostrada4py from HOSTRADA data
# Columns: Global radiation [Wh/m2], Diffuse radiation [Wh/m2], Long-wave irradiation [Wh/m2], Ambient temperature [degC], Wind speed [m/s], Relative humidity [%]
# Location: HOSTRADA, lat=52.521918, lon=13.413215
Gh,Dh,Lh,Tamb,Vwnd,Hrel
0,0,163.381,1.4,5.3,77.7
0,0,163.074,1.3,5.3,78
0,0,162.253,1.1,6.2,77.9
0,0,161.5,1,5.4,76.7
0,0,160.174,0.7,5.7,76.2
10.2,10.1189,159.154,0.4,5.7,76.7
50.8,49.8821,159.244,0.5,4.9,75.7
125.7,111.684,160.191,0.9,4.8,73.7
209.4,118.758,161.94,1.5,4.2,71.8
186.3,122.565,162.796,1.8,5.3,70.8
117,101.031,163.818,2,4.1,71.5
45.4,44.3354,164.863,2.1,4.3,73.5
20.1,20.1,163.432,1.7,4.1,74
0,0,164.258,1.9,3.5,74.1
0,0,163.463,1.7,3.9,74.1
0,0,162.954,1.7,3.9,72.5
0,0,160.627,1.1,3.7,72.6
0,0,159.023,0.6,3.9,73.7
0,0,157.507,0.2,2.4,73.8
0,0,156.324,-0.1,1.9,73.7
0,0,156.002,-0.2,2.1,73.9
0,0,156.153,-0.2,0.9,74.4
0,0,156.093,-0.2,1.7,74.2
0,0,156.093,-0.2,1,74.2
0,0,153.752,-1,1.5,76.6
0,0,151.553,-1.9,1.6,80.9
0,0,150.544,-2.4,2.2,84.2
0,0,148.517,-3.1,1.4,86.5
0,0,147.964,-3.4,1.3,88.8
21.6,21.2447,149.147,-3.1,1.5,89.1
110.4,87.3033,155.575,-1.2,2.1,86.1
210.8,90.5753,157.837,-0.2,3,80.2
255.4,82.5566,158.881,0.5,3.3,74.5
257.4,69.6099,159.046,0.8,5.1,71.3
225.2,46.4032,160.598,1.4,4.5,68.9
121.7,45.9878,159.874,1.3,3.6,67.9
37.1,37.1,159.53,1.1,3.5,69.2
0,0,158.064,0.4,2.7,73.1
0,0,159.364,0.5,2.5,76.1
0,0,159.543,0.5,2.6,76.7
0,0,159.449,0.4,2.2,77.7
0,0,160.16,0.5,2.7,78.8
0,0,159.248,0.2,3,79.7
0,0,158.725,0,3,80.6
0,0,158.173,-0.2,3,81.4
0,0,155.775,-0.9,3.1,82.5
0,0,155.383,-1.1,2.8,83.9
0,0,153.031,-1.8,2.3,85.1
0,0,154.758,-1.4,2.4,85.9
0,0,155.793,-1,3,84
0,0,154.167,-1.3,3,82.2
0,0,154.929,-1.1,3.2,82.2
0,0,154.086,-1.3,3.1,81.9
13.9,13.7563,154.631,-1.1,2.9,81.1
56.3,55.2002,156.298,-0.4,3.8,77.5
98,94.3002,156.647,0,3.9,73.5
113.2,108.34,158.944,1,3.5,68.6
89.4,87.4135,160.248,1.8,3.6,63.4
53.4,52.583,161.354,2.4,3.3,60.1
24.9,24.6188,161.543,2.7,3.4,57.6
9.2,9.2,162.053,2.8,3.5,57.9
0,0,163.905,3.1,3.4,59.6
0,0,165.621,2.9,6,66.3
0,0,166.481,1.8,4.3,82.8
0,0,170.738,2.1,4.5,93.9
0,0,172.242,2.4,4.6,94.9
0,0,172.995,2.5,5.1,96.2
0,0,173.593,2.6,4.4,96.9
0,0,174.166,2.7,4.7,97.5
0,0,175.161,2.9,4.6,98.1
0,0,176.11,3.1,4.6,98.5
0,0,177.385,3.4,4.4,98.5
0,0,178.213,3.6,4,98.4
0,0,180.231,4.1,4.4,97.9
0,0,181.803,4.5,4,97.3
0,0,182.619,4.7,3.7,97.1
0,0,183.438,4.9,3.1,96.9
13.7,13.5639,184.151,5.1,3.5,96.3
55.6,54.5416,186.131,5.6,3.1,95.5
57.5,56.6649,186.791,5.8,3.6,94.7
62.5,61.6169,186.865,5.9,4,93.4
63.5,62.5582,187.26,6.1,4,91.7
46.3,45.695,186.76,6.1,3.6,90
29.6,29.2122,186.312,6.1,3.2,88.5
9,9,185.751,6,2.8,88.1
0,0,184.673,5.7,2.1,88.9
0,0,184.175,5.6,2.4,88.7
0,0,183.273,5.4,2,88.6
0,0,183.538,5.4,1.9,89.5
0,0,182.494,5.1,2.3,90.4
0,0,181.564,4.8,2.6,91.7
0,0,181.036,4.6,2.1,92.9
0,0,180.826,4.5,1.5,93.7
0,0,180.394,4.4,1.8,93.7
0,0,179.908,4.3,2.2,93.5
0,0,180.046,4.3,1.7,94
0,0,179.588,4.2,2.4,93.9
0,0,178.567,4,2.9,93.3
0,0,178.167,3.9,2.6,93.4
0,0,176.546,3.5,3.2,93.7
0,0,175.913,3.3,3.1,94.5
8.9,8.844,176.125,3.3,3.9,95.3
41.4,40.8211,176.523,3.4,3.6,95.2
47.3,46.7412,175.28,3.1,3.8,95.3
52.8,52.1766,175.042,3.1,4.1,94.4
49.1,48.5436,176.069,3.4,3.6,93.5
36.5,36.1297,176.726,3.6,3.2,92.8
26.2,25.9035,175.305,3.4,3.8,90.7
7.6,7.6,174.607,3.3,3.7,89.7
0,0,174.551,3.3,3.1,89.5
0,0,174.747,3.4,3.5,88.7
0,0,174.803,3.4,3.9,88.9
0,0,174.104,3.2,3.9,89.4
0,0,173.406,3,3.6,89.9
0,0,173.126,2.9,3.4,90.4
0,0,172.402,2.7,2.9,90.8
0,0,171.346,2.4,3.1,91.5
0,0,171.436,2.3,3.1,93.4
0,0,170.737,2,3.3,95.5
0,0,170.216,1.8,2.9,96.7
0,0,168.869,1.4,3.1,97.9
0,0,168.294,1.2,3.1,98.9
0,0,167.982,1.1,2,99.3
0,0,167.214,0.9,2.5,99.5
0,0,166.448,0.7,2.7,99.7
10.8,10.7197,166.472,0.7,2.4,99.8
48.1,47.3295,166.09,0.6,3.1,99.9
66.3,65.2146,166.902,0.8,2.4,99.9
75.7,74.4327,167.31,0.9,2,99.9
93.5,91.3809,168.918,1.4,2,98.1
111.5,102.136,168.245,1.4,2.2,95.4
87.9,72.2901,168.273,1.5,2.2,93.9
27.4,27.4,167.457,1.3,2.6,93.9
0,0,166.061,0.9,2.6,94.8
0,0,166.127,0.8,2.6,96.7
0,0,165.375,0.5,1.9,98.6
0,0,164.996,0.4,2.2,98.7
0,0,164.119,0.2,1.7,98.4
0,0,163.766,0.1,2,98.6
0,0,162.614,-0.2,2.5,98.8
0,0,161.375,-0.5,2.3,98.6
0,0,160.259,-0.8,1.8,98.9
0,0,159.495,-1,1,99
0,0,159.011,-1.1,2.3,98.6
0,0,158.964,-1.1,2.2,98.4
0,0,157.793,-1.4,2.4,98.4
0,0,157.404,-1.5,1.4,98.4
0,0,156.605,-1.7,1.3,98.3
0,0,156.264,-1.8,1.1,98.5
15.2,15.0451,155.923,-1.9,1.5,98.7
67.2,65.5385,155.923,-1.9,1.3,98.7
98.6,95.3797,155.515,-2,1.3,98.6
137.5,126.634,158.228,-1.3,1.2,98.6
136.6,124.764,159.426,-1,1.2,98.7
94,90.2794,160.955,-0.6,1.7,98.5
64.6,61.5105,161.281,-0.5,1.3,98.2
24.1,24.1,160.584,-0.7,1.3,98.6
0,0,160.328,-0.8,1.2,99.2
0,0,159.934,-0.9,0.9,99.2
0,0,159.472,-1,0.7,98.9
0,0,159.356,-1,0.5,98.4
0,0,159.703,-0.9,1.5,98.2
0,0,158.918,-1.1,1.5,98.2
0,0,156.901,-1.6,1.1,97.9
0,0,156.013,-1.8,1.2,97.4
0,0,154.745,-2.1,1.5,96.9
0,0,153.888,-2.3,1.6,96.5
0,0,153.507,-2.4,1.6,96.5
0,0,153.507,-2.4,1.7,96.5
0,0,153.53,-2.4,2,96.6
0,0,154.002,-2.3,1.6,97
0,0,153.126,-2.5,1.4,96.5
0,0,152.99,-2.5,1.2,95.9
26,25.5589,152.026,-2.7,1.6,95
118.4,94.7349,156.016,-1.6,2.1,94.1
212.6,107.803,160.449,-0.4,2.4,93.1
258,102.337,167.964,1.8,2.3,88.1
276.2,75.4132,177.6,4.7,2.6,79.9
233.9,60.995,182.256,6.3,2.6,73.4
155.3,39.6379,183.494,6.9,3,69.7
63.8,63.8,180.78,6.2,2.9,70.5
0,0,176.729,4.7,2.7,77.2
0,0,174.257,3.6,2.7,84.1
0,0,173.4,3.2,3.2,86.9
0,0,171.963,2.8,2.7,87.7
0,0,171.219,2.6,2.7,88
0,0,170.944,2.5,3,88.5
0,0,170.724,2.4,2.6,89.2
0,0,170.339,2.3,2.2,89.3
0,0,171.023,2.4,2.7,90.3
0,0,169.749,2,1.5,91.7
0,0,169.295,1.8,1.9,93.1
0,0,169.939,1.9,2.2,94
0,0,170.738,2.1,2.8,93.9
0,0,172.283,2.6,3.2,91.9
0,0,171.023,2.4,2.1,90.3
0,0,167.756,1.5,2.1,91.9
28.7,28.1772,168.294,1.6,2,92.4
121.3,96.2689,173.681,3,2,90.9
213.7,110.294,180.646,5.2,2.3,82.8
259.3,105.184,181.386,6,2.3,74.6
276.1,79.7425,183.435,6.8,2.4,70.7
216.6,81.7662,183.75,7.1,2.7,68.1
132.2,65.1927,184.54,7.3,2.5,67.9
33,33,185.927,7.7,2.5,67
0,0,181.395,6.5,2.2,68.7
0,0,179.788,5.7,2.6,73.7
0,0,176.793,4.6,2.2,78.7
0,0,172.649,3.2,2.4,84.3
0,0,168.127,1.8,2.3,88.7
0,0,167.401,1.4,2.6,92.1
0,0,166.34,1,2.5,94.3
0,0,167.504,1.2,2.7,95.7
0,0,167.729,1.2,3.3,96.6
0,0,166.459,0.9,4,96.4
0,0,165.905,0.8,3.1,95.8
0,0,165.328,0.7,3,95.1
0,0,164.776,0.6,3.1,94.5
0,0,163.124,0.3,3.2,92.7
0,0,161.083,-0.1,3.3,90.9
0,0,159.46,-0.5,2.4,90.7
21.5,21.2147,158.703,-0.7,2.5,90.8
55.7,54.7269,157.8,-0.9,2.2,90.3
88.3,86.4069,158.188,-0.8,1.5,90.3
76.2,74.9745,158.528,-0.7,1.4,90.1
51.9,51.3163,159.105,-0.5,1.3,89.3
47.8,47.2126,158.69,-0.6,1.8,89.2
42.1,41.4217,159.156,-0.5,2.1,89.5
18.1,17.7787,159.068,-0.6,2.4,90.7
0,0,158.66,-0.8,2.5,92.2
0,0,160.105,-0.5,2.4,93.3
0,0,159.786,-0.6,2.8,93.6
0,0,159.466,-0.7,2.1,93.9
0,0,159.563,-0.7,2.1,94.3
0,0,158.557,-1,2.2,95
0,0,157.649,-1.3,2.6,96.1
0,0,157.354,-1.4,2.1,96.5
0,0,156.763,-1.6,1.4,97.3
0,0,156.901,-1.6,1.3,97.9
0,0,156.993,-1.6,1.2,98.3
0,0,155.719,-1.9,1.7,97.8
0,0,156.082,-1.8,1.9,97.7
0,0,156.537,-1.7,2.2,98
0,0,156.491,-1.7,2,97.8
0,0,155.696,-1.9,2.5,97.7
15,14.865,156.059,-1.8,2.4,97.6
75.8,73.5518,156.855,-1.6,2.4,97.7
192.1,128.331,158.662,-1.1,2.4,97.1
230.9,134.861,163.349,0.3,2.1,93.6
213.1,137.564,167.805,2,2.4,84.6
161.1,121.134,169.358,2.9,2.9,77.5
91.3,79.3886,170.886,3.5,3.4,74.6
35.7,30.5543,169.673,3.3,3.4,73.4
0,0,167.787,2.7,3.5,75.1
0,0,168.168,2.6,3.7,77.6
0,0,168.568,2.6,3.8,78.9
0,0,169.158,2.7,4.1,79.5
0,0,169.99,2.8,4.4,80.9
0,0,169.734,2.6,4.5,82.8
0,0,167.748,2,3.8,84.4
0,0,165.95,1.5,4,85.2
0,0,163.972,1,3.6,85.3
0,0,163.175,0.8,4.2,85.3
0,0,162.066,0.5,4.1,85.6
0,0,162.544,0.6,4.2,85.9
0,0,162.859,0.7,4.2,85.6
0,0,163.917,1,4.5,85.1
0,0,165.733,1.6,5.2,83
0,0,166.096,1.9,4.2,80.1
5.3,5.28362,165.444,1.5,4.4,83.4
25.1,24.9086,167.008,1.4,3.7,90.6
26,25.845,169.81,1.9,3.5,93.5
28.7,28.5304,173.39,2.7,4.1,94.5
56.1,55.4356,176.152,3.3,4.3,95.4
48.4,47.8166,180.237,4.3,5.4,94.7
27.3,27.028,181.496,4.7,4.8,93
16,15.7488,182.666,5.1,4.6,91
1,1,182.087,5.1,4.8,89
0,0,181.221,4.9,4.4,89
0,0,181.881,5.1,4.1,88.3
0,0,181.136,5.1,4.6,85.8
0,0,180.281,5,4.6,84.4
0,0,179.298,4.9,3.9,82.6
0,0,177.992,4.8,3.6,79.8
0,0,176.953,4.6,3.5,79.2
0,0,175.196,4.1,3.1,80.3
0,0,174.28,3.8,2.9,81.4
0,0,174.136,3.7,2.7,82.3
