time,value_mean,value_min,value_max,cell_count
2019-08-03 18:00:00,21.25775577557756,20.200000000000003,23.0,1515
2019-08-03 19:00:00,19.93986798679868,18.8,22.200000000000003,1515
2019-08-03 20:00:00,18.325874587458745,17.1,20.900000000000002,1515
2019-08-03 21:00:00,18.033663366336633,16.5,21.0,1515
2019-08-03 22:00:00,17.872739273927394,16.3,21.3,1515
2019-08-03 23:00:00,16.912475247524753,15.5,20.400000000000002,1515
2019-08-04 00:00:00,16.060396039603962,14.600000000000001,19.5,1515
2019-08-04 01:00:00,15.350429042904292,13.5,19.200000000000003,1515
2019-08-04 02:00:00,14.93135313531353,13.3,18.7,1515
2019-08-04 03:00:00,15.003234323432345,13.4,18.900000000000002,1515
2019-08-04 04:00:00,15.117227722772279,13.600000000000001,18.900000000000002,1515
2019-08-04 05:00:00,15.870561056105611,14.4,19.5,1515
2019-08-04 06:00:00,17.06904290429043,15.8,19.900000000000002,1515
2019-08-04 07:00:00,18.04798679867987,17.0,20.1,1515
2019-08-04 08:00:00,19.062574257425744,18.3,20.5,1515
2019-08-04 09:00:00,20.05683168316832,19.400000000000002,20.8,1515
2019-08-04 10:00:00,21.582706270627064,20.8,22.900000000000002,1515
2019-08-04 11:00:00,22.62448844884489,22.1,23.200000000000003,1515
2019-08-04 12:00:00,23.238085808580863,21.900000000000002,24.3,1515
2019-08-04 13:00:00,23.020396039603963,22.3,23.900000000000002,1515
2019-08-04 14:00:00,23.637029702970295,23.1,24.200000000000003,1515
2019-08-04 15:00:00,23.590363036303632,22.900000000000002,24.5,1515
2019-08-04 16:00:00,22.614389438943896,22.0,23.5,1515
2019-08-04 17:00:00,22.01590759075908,21.5,22.8,1515
2019-08-04 18:00:00,21.412145214521452,20.6,22.5,1515
